Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
B_CUY_01_017_05,553.38224,808.9234588362501,255.5412188362501
B_CUY_01_014_10,648.63656,758.3453482595584,109.70878825955833
B_CUY_01_024_01,771.1064,670.2415427388696,100.8648572611304
B_CUY_01_017_01,553.38224,468.25541082292006,85.12682917707997
B_CUY_01_024_04,771.1064,744.8034670406377,26.30293295936235
B_CUY_01_014_01,648.63656,667.6310596123307,18.99449961233063
B_CUY_01_014_02,648.63656,731.751051407943,83.11449140794298
B_CUY_01_024_02,771.1064,657.5154374969923,113.59096250300774
B_CUY_01_026_05,734.81904,535.1490409404801,199.6699990595199
B_CUY_01_017_06,553.38224,710.704031200223,157.32179120022295
B_CUY_01_017_10,553.38224,464.9923069147464,88.38993308525363
B_CUY_01_024_05,771.1064,626.5159503693426,144.59044963065742
B_CUY_01_024_07,771.1064,618.6845009897257,152.42189901027427
B_CUY_01_017_08,553.38224,624.0686224382123,70.68638243821226
B_CUY_01_014_13,648.63656,471.5185147310937,177.11804526890631
B_CUY_01_014_09,648.63656,483.59199919133624,165.0445608086638
B_CUY_01_024_08,771.1064,618.6845009897257,152.42189901027427
B_CUY_01_024_09,771.1064,522.0966253077854,249.0097746922146
B_CUY_01_014_07,648.63656,792.9342496861991,144.29768968619908
B_CUY_01_017_11,553.38224,558.3170786885131,4.934838688513082
B_CUY_01_014_06,648.63656,666.978438830696,18.34187883069592
B_CUY_01_017_07,553.38224,810.8813211811542,257.4990811811542
B_CUY_01_014_04,648.63656,633.0421581856898,15.594401814310231
B_CUY_01_014_12,648.63656,693.4095804869025,44.77302048690251
B_CUY_01_014_08,648.63656,482.93937840970153,165.6971815902985
B_CUY_01_014_11,648.63656,520.791383744516,127.84517625548403
B_CUY_01_017_04,553.38224,695.5305980272154,142.1483580272154
B_CUY_01_026_02,734.81904,516.8756590547076,217.94338094529235
B_CUY_01_014_05,648.63656,616.7266386448216,31.909921355178426
B_CUY_01_014_14,648.63656,596.3322392187362,52.30432078126387
B_CUY_01_024_03,771.1064,559.9486306425999,211.15776935740007
B_CUY_01_024_06,771.1064,735.8299312931601,35.276468706839864
B_CUY_01_014_16,648.63656,732.2405169941691,83.60395699416904
B_CUY_01_026_06,734.81904,575.6115294018334,159.20751059816655
B_CUY_01_017_09,553.38224,771.8872294784791,218.50498947847905
B_CUY_01_017_03,553.38224,596.3322392187362,42.94999921873614
B_CUY_01_014_15,648.63656,548.2014565731747,100.43510342682532
B_CUY_01_026_04,734.81904,618.6845009897257,116.13453901027424
B_CUY_01_024_10,771.1064,575.6115294018334,195.49487059816659
B_CUY_01_024_11,771.1064,694.3885116593547,76.71788834064535
B_CUY_01_026_01,734.81904,575.2852190110161,159.53382098898385
B_CUY_01_045_04,934.39952,746.5981741901331,187.80134580986692
B_CUY_01_049_03,408.2328,553.4224228262526,145.18962282625262
B_CUY_01_045_07,934.39952,807.4550620775719,126.94445792242811
B_CUY_01_045_03,934.39952,673.5046466470433,260.8948733529568
B_CUY_01_065_02,390.08912,522.0966253077854,132.00750530778544
B_CUY_01_045_13,934.39952,704.1778233838756,230.2216966161244
B_CUY_01_043_11,1097.69264,705.4830649471451,392.2095750528549
B_CUY_01_045_09,934.39952,734.1983793390733,200.20114066092674
B_CUY_01_049_09,408.2328,565.3327520910864,157.09995209108638
B_CUY_01_049_10,408.2328,441.49795877589605,33.265158775896055
B_CUY_01_049_05,408.2328,643.4840906918456,235.2512906918456
B_CUY_01_043_05,1097.69264,820.9969432964926,276.69569670350734
B_CUY_01_043_07,1097.69264,834.0493589291873,263.6432810708127
B_CUY_01_043_04,1097.69264,726.8563955456825,370.83624445431747
